Total oos: 16794
Total Jupiter OOs 14057

owner,oo,amount
8UyEqzcSuxUU1B8XDc1WCZR8iwHYvQfEoDhVSvV4Rsav,GfeYq14AEeba2xrSy9SpxkhCXK9E361oPcAdxf99xbMp,'2702702702.7027'
EZhRx2vRP4SzB6MTyzYa3Z8AegyWYJDTxnY2QY7P4jvm,HCisLNbiaeeXZfLfCXCi4D78E11QDUbgUWjW7QTMHmmT,'2702702702.7027'
6DyrjMKMfT25EUGXk2MLHiEyLhLjwvNRvwWSv8XJptbP,FQLK8xRqjyrBQcQAPSPzCFmwgxCFgRa3v6sjRVGwekyk,'2702702702.7027'
2eAqK9xRZLwxCCpbKEcQpXF5U4fmDXN2hfmDeKK2wKfT,9M1JdZC6srUZwJR2MkyD8fNuErsZFjd8umRfLYUJRaV7,'2702702702.7027'
2SJnoeFHhaWkfF9EWdsPXYn4QwUsN9Um4WMnaEwTw9Fq,2mTJcvdNPbTsEYp7ekVZLs44DEysa66ZijZ5E5iRDpCM,'2702702702.7027'
2b4r9wPYszjnz5f5gRSfeAqDfsor59YnuCP1MqeFitkr,CS1zFbTMrpKzX67f48jBu42iGXG9yWgbEkisDQmMiiET,'2702702702.7027'
CXmvdhc5vnEVJJZn7wxyz2Nq3DexMayzMUqststQLoda,Hkwrs9NGiHqNZsLNraLDQTf6sZXDrdsQbeWxDEUzcbRr,'2702702702.7027'
BXteSLiZGeQGtwoB7QV4F93ZGUNFpyrqd7hPAeW2csnn,EkDPzmrRXsKhZLwrJCmhiQWQFxLiZmQTEVwLgH3fx2NU,'2702702702.7027'
AdQvh4Ax5ZbysugL4oWG7jPaVnTTgj73sjjAaexSckeZ,Ug4NpGvJwTPRZtoktpwq4pv7XoueYBD2u4VV5Pzur39,'2702702702.7027'
EaJvpghX1462z7SsLyjaBazCkrbyVCXsrqF2yRRhLqL6,DTfRt2f8Vab5h5vK3SGqpYcSbad2HhrN9gZ5wxcsQK23,'2702702702.7027'
HSnPWEB5Py9uNNhBrGwm6VFTJhWAdY8WHs7z8sRFjykm,DSgnD243cYF6b7wXcPpVG4BrTZnNxDTgL6y1MA4bGev5,'2702702702.7027'
6woJkgUd2cpQQQBEp1C2G9NsYAvPwYmZXXTd6AxhieMy,HJ2sLm2houpd7KX7Zbt1pMU2jUHKJuFSoPijyuJVv5iF,'2702702702.7027'
EFHg5FatMRRSZnKJPJF9e1iw2cjPJRmwTTZYtkHno9DP,4a835YJsHaA5NYNMWJPw1srV4qHPBLjhBLV3Revapqi4,'2702702702.7027'
CQUTdvx2e9xnsgabMvJ2CEnXFeZ54C5NqZjCtCgpfkKP,CdePSP8ZfnofhrNxHKwZpc2rNmzAfm69BQNfT2N2foWL,'2702702702.7027'
7Fb53kqkqNSKizyDNt3sZF1gjNEziBWdE6U2Z7XkTuqe,4WW1DZBLyqUAJ6q8WR3GEhJQ87i2ofUnXVwngX9zWngi,'2702702702.7027'
6hTpdC3udnoGLapS1Uxrt51sBRcDH3finesjETPqrHjK,ob1n91K3MXad7m9dsbNVWND7v9qShpYHegJTUhh2CbV,'2702702702.7027'
7kpGDhSwN7EC9CRmsDRAGE5rgHq4HCcp6tPJrU9Ymgcm,EUmKaPZZDCZNYiiY4PX2U5KgNF7J3rrxeWSDPJgwguYi,'2702702702.7027'
4oYDqexXen5JDrVmLBqzagpgdjj2YKX26x6HUNZPy7SR,7zXSeY5ApHq3GncKoTJueHsr1PU4xNoBAhTa9qRkVpUV,'2702702702.7027'
583N3g4YEQqn32c21kQBykTKhFgtsghyrMEfN1tktPcD,3fzjvsuD1PgjjbXxKmEgxPMUBcrqRupuFfSf5h3NegDP,'2702702702.7027'
EHEyxyKa2QfLBVqjViHGKNxWy1YTFa51r3Bui27ctT67,5VFmbYpbUCVbxiJjKH1mgoEeqW5dpNrvNA25GF7FJF77,'2702702702.7027'
7oXDvTucj6KKs34ckbKfh2Lt5BKApzwS1bHpZXuv81hr,74xJkGmh2CghonrsYJ6dG9L3f2E77H7Tvs6SmAGfcBcL,'2702702702.7027'
5hG7AEo2SyZRhE6pKiWRYsJRCvk5RxBBrbL7B2uGTD3R,5SBasRoa5uftteXdTmk9yNYGVavZrquU2GLjpAkiGsoZ,'2702702702.7027'
FCEpZgzV5EiBpmGLnPoxyZ8b2xSSVAmoxaiu4Pj9gqWc,6jDmTqoh8aZFiVrWcc9qkUuM5LCA3z8y9DQbMWoP23PD,'2702702702.7027'
EQiHKPRdPDJ7H1FcrjokyVjBibZE5Ba9hCPchdoSsy29,EP3KNjNvmJcjiCwUkbAL1M6oC58vufrVzNCpa9T9BSMT,'2702702702.7027'
AZEdY6DSDwNUj5h1ZKcCxCKxCdvcWHprF1rUj5kZwFDV,9FzXDqjzokb9dQjnmZmv6DhHeD36qbbJSDaEeFBavQJW,'2702702702.7027'
5HrLDmK6CZUKwcNzxRToL3Jn3KorZNftbinRDCc2bL87,B12PyfCXumUxt1265eUCuoaEt2M5CLeLRGeandgBRbHF,'2702702702.7027'
5nM1CTQwKXFZo5yJYC8J1pgj32JW6Fx8DpQAtPZ8aiLw,HrBFx8KRgq6BTgp8bEAxLKMKBiRvQiVHdA1HjYkazQ1x,'2702702702.7027'
HKcXZAkT4ec2VBzGNxazWhpV7BTk3frQpSufpaNoho3D,Bmsm1wMH2PHRcZeA7Fie25ecUitDhXs9sRDDWrWUXPk9,'2702702702.7027'
BGUg3t3ESu2rQtijnvnbFudABQNzoDBMu6acmQwB5JRg,7ihamo5QZFwmkG1jP6k2KYVXQpAuMLDeWAfPwZxQver6,'2702702702.7027'
AWo9GpfT2AxUcWXdmY3VTLQjtCs2ysc2urBjsEjUZe89,AeyPJNmLnZH99tjNPczLHPgAiZ5w8NwRa5twuaAaweRD,'2702702702.7027'
434Wg35t6K5R7c6fgwtdwdC1kWhJNzN84JDkGr2g3cAf,H23nBp6k667TUpJrvnxhVkdZr9PNJ1ctMU6w3GrfiELe,'2702702702.7027'
DTayHCZTEEekChx9iXygykDAhBZACddq2bhG4voGE1qk,8y1cumTAhmRxADb6aQPgwYwCLde1DkcfrPtzZigNqQ84,'2702702702.7027'
2CEoBhMhYutomnhbJ1JK2DkmvenEzMEHmdJcX6wMnL1M,2toc3sKx4SHhDABfv9cYujQqahAGwtomGU6X9Pbmw1fH,'2702702702.7027'
7pnTs8HeE392mAZjjZKFtq2avUnNtdA4o6VGEH3vKuJk,Yyi1HjaiTwLPCN8PRMEKCyjCf2RSZzc2jvc8jfCRUGD,'2702702702.7027'
7dW8orog7Cf1PE3Rbi1mJwNwypZebrkgsHAUshM8Ekp6,AQiUfWwqH7pCp8VwE1eJ1TxYTjr6wAxfLKinQFWjrmvK,'2702702702.7027'
2fdo2f19b4MuzH6Xj3zkqGtTGYqjwaBFhH5Q3cP6gWiB,6VCBqtzwx8fvALNEj7oYSJnc3H6qiZ8xT1Yza3jvYgcY,'2702702702.7027'
DX4UNH7iSq2N1bbLLX7uLVUt5qoMb7gjbHb93iGH4Ns2,5MsuBgo3rdbJfVgJvinWauPhvuyGCqiGYkzf1ecKi3mN,'2702702702.7027'
7wYwp2QwwUyPvNADdUwhH2YxNCxtDd1UobiCKRY1Vr4g,4fatkzxS3MoZFhFyNxTEtUQTCJPNC6bFnMvbATZxAWwK,'2702702702.7027'
FpxGStcufXZBFBnAGyoNUiJAfPEzqJ8ENUZSzP49LhNd,8kC8dRV79rmjuhCowep21wph89EEUvMSuVoqoANtM6jG,'2702702702.7027'
66Po7FQC5VHoC9achCbzbfYnpFdbPypC4d3eZx1c5Wc,2qsVnD7r5aytzDBo4Tt4QHrH8RTz2mTs27bvYHkCs4fK,'2702702702.7027'
27oVRZp83qjveDDjLumomimtW93fmyDJahz3q4oT3xpz,4KgU4px42HzNLXcw12xPHq9sQFjm7HZXR5StESbenQhx,'2702702702.7027'
